MLS,sold_price,zipcode,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21728991,550000.0,85737,0.51,6193.5,2003,3,3.0,2507.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Double/Convection",2,"Carpet, Concrete",50
21704135,530000.0,85658,0.28,4305.3,2007,2,2.0,2070.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2,"Carpet, Ceramic Tile, Wood",193
21809970,550000.0,85737,0.47,6731.96,2015,4,3.0,3575.0,4.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless",0,"Ceramic Tile, Wood",83
21815941,550000.0,85718,0.67,5491.0,1976,4,4.0,4139.0,2.0,"Dishwasher, Garbage Disposal, Gas Range, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: SS, Oven: Dacor",2,"Carpet, Ceramic Tile",3
3051343,544000.0,85622,1.0,3275.0,1985,3,3.0,3512.0,2.0,"Desk, Dishwasher, Double Sink, Garbage Disposal, Island, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Microwave",2,"Carpet, Ceramic Tile",2
21832887,575359.5,85641,1.07,625.0,2019,5,36.0,3720.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Walk-In, Appliance Color: Stainless, Countertops: Granite, Microwave: In cabinet",1,"Carpet, Ceramic Tile",0
21716637,555411.0,85755,0.26,900.22,2017,4,4.0,3679.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0,"Carpet, Ceramic Tile",134
21403810,560000.0,85739,0.2,3785.0,2003,3,4.0,2670.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",198
21415102,565000.0,85755,0.19,4575.26,2001,2,3.0,2549.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1,"Carpet, Ceramic Tile",92
21400344,645400.0,85737,0.38,2334.0,2014,3,3.0,2700.0,2.0,"Dishwasher, Garbage Disposal, Microwave, Oven",0,"Carpet, Ceramic Tile",75
